Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
デンソーエアリービーズ,0,0,18,25,19,,,62,129,34,10,26.4,11.33,8,0,2,0.0,10,3.33,64,5,7,31,17.2,66,18.0,21.0,43.2,3.0,13,NECレッドロケッツ,3,3,25,27,25,,,77,119,39,6,32.8,13.00,14,2,2,14.3,12,4.00,75,6,7,27,14.7,55,12.0,12.0,32.7,0.0,20
NECレッドロケッツ,3,3,25,27,25,,,77,119,39,6,32.8,13.00,14,2,2,14.3,12,4.00,75,6,7,27,14.7,55,12.0,12.0,32.7,0.0,20,デンソーエアリービーズ,0,0,18,25,19,,,62,129,34,10,26.4,11.33,8,0,2,0.0,10,3.33,64,5,7,31,17.2,66,18.0,21.0,43.2,3.0,13
久光製薬スプリングス,3,3,25,25,25,,,75,104,46,2,44.2,15.33,12,6,0,50.0,10,3.33,73,3,3,31,13.7,46,16.0,8.0,43.5,1.0,16,東レアローズ,0,0,17,14,22,,,53,104,41,7,39.4,13.67,7,2,0,28.6,2,0.67,55,4,6,21,14.1,69,25.0,12.0,44.9,3.0,6
東レアローズ,0,0,17,14,22,,,53,104,41,7,39.4,13.67,7,2,0,28.6,2,0.67,55,4,6,21,14.1,69,25.0,12.0,44.9,3.0,6,久光製薬スプリングス,3,3,25,25,25,,,75,104,46,2,44.2,15.33,12,6,0,50.0,10,3.33,73,3,3,31,13.7,46,16.0,8.0,43.5,1.0,16
埼玉上尾メディックス,3,3,23,25,25,25,,98,163,69,4,42.3,17.25,23,5,1,21.7,8,2.00,97,3,8,24,7.2,73,35.0,15.0,58.2,1.0,18,KUROBEアクアフェアリーズ,1,0,25,14,19,16,,74,177,55,12,31.1,13.75,8,2,1,25.0,4,1.00,75,2,2,21,9.0,87,48.0,14.0,63.2,4.0,13
KUROBEアクアフェアリーズ,1,0,25,14,19,16,,74,177,55,12,31.1,13.75,8,2,1,25.0,4,1.00,75,2,2,21,9.0,87,48.0,14.0,63.2,4.0,13,埼玉上尾メディックス,3,3,23,25,25,25,,98,163,69,4,42.3,17.25,23,5,1,21.7,8,2.00,97,3,8,24,7.2,73,35.0,15.0,58.2,1.0,18
日立リヴァーレ,3,2,23,25,20,25,15,108,192,64,8,33.3,12.80,21,6,0,28.6,15,3.00,107,3,7,24,6.8,91,44.0,19.0,58.8,6.0,26,PFUブルーキャッツ,2,1,25,15,25,22,11,98,191,65,9,34.0,13.00,20,3,3,15.0,9,1.80,99,3,6,26,8.1,97,52.0,20.0,63.9,11.0,21
PFUブルーキャッツ,2,1,25,15,25,22,11,98,191,65,9,34.0,13.00,20,3,3,15.0,9,1.80,99,3,6,26,8.1,97,52.0,20.0,63.9,11.0,21,日立リヴァーレ,3,2,23,25,20,25,15,108,192,64,8,33.3,12.80,21,6,0,28.6,15,3.00,107,3,7,24,6.8,91,44.0,19.0,58.8,6.0,26
JTマーヴェラス,3,3,27,23,25,25,,100,195,78,14,40.0,19.50,20,5,0,25.0,3,0.75,99,3,2,22,8.1,93,60.0,16.0,73.1,4.0,16,岡山シーガルズ,1,0,25,25,20,23,,93,195,67,10,34.4,16.75,5,0,0,0.0,6,1.50,94,0,1,17,4.3,95,60.0,13.0,70.0,5.0,20
岡山シーガルズ,1,0,25,25,20,23,,93,195,67,10,34.4,16.75,5,0,0,0.0,6,1.50,94,0,1,17,4.3,95,60.0,13.0,70.0,5.0,20,JTマーヴェラス,3,3,27,23,25,25,,100,195,78,14,40.0,19.50,20,5,0,25.0,3,0.75,99,3,2,22,8.1,93,60.0,16.0,73.1,4.0,16
